id,date,time,milli sec,timestamp1,l_fm_odg_spab11,d_ffb_cfb,d_ffb_ltf,l_fm_odg_ffbmps,steelidtotal,type
347,2019-5-10,18:57:55,250,1557514675,1,1020,555,22.159706,2019-05-10 08:25:18 NO405,
348,2019-5-10,18:57:55,500,1557514676,1,1024,557,22.160913,2019-05-10 08:25:18 NO405,
349,2019-5-10,18:57:55,750,1557514676,1,1020,558,22.156082,2019-05-10 08:25:18 NO405,
350,2019-5-10,18:57:56,0,1557514676,1,1006,556,22.159706,2019-05-10 08:25:18 NO405,
351,2019-5-10,18:57:56,250,1557514676,1,1009,559,22.158497,2019-05-10 08:25:18 NO405,
352,2019-5-10,18:57:56,500,1557514677,1,1009,557,22.160913,2019-05-10 08:25:18 NO405,
353,2019-5-10,18:57:56,750,1557514677,1,1010,557,22.160913,2019-05-10 08:25:18 NO405,
354,2019-5-10,18:57:57,0,1557514677,1,1013,557,22.158497,2019-05-10 08:25:18 NO405,
355,2019-5-10,18:57:57,250,1557514677,1,1020,559,22.15729,2019-05-10 08:25:18 NO405,
356,2019-5-10,18:57:57,500,1557514678,1,1001,557,22.162121,2019-05-10 08:25:18 NO405,
357,2019-5-10,18:57:57,750,1557514678,1,1025,558,22.159706,2019-05-10 08:25:18 NO405,
358,2019-5-10,18:57:58,0,1557514678,1,1021,558,22.160913,2019-05-10 08:25:18 NO405,
359,2019-5-10,18:57:58,250,1557514678,1,1027,559,22.15729,2019-05-10 08:25:18 NO405,
360,2019-5-10,18:57:58,500,1557514679,1,1011,558,22.159706,2019-05-10 08:25:18 NO405,
361,2019-5-10,18:57:58,750,1557514679,1,1027,558,22.159706,2019-05-10 08:25:18 NO405,
362,2019-5-10,18:57:59,0,1557514679,1,1011,559,22.160913,2019-05-10 08:25:18 NO405,
363,2019-5-10,18:57:59,250,1557514679,1,1017,561,22.160913,2019-05-10 08:25:18 NO405,
364,2019-5-10,18:57:59,500,1557514680,1,1032,563,22.15729,2019-05-10 08:25:18 NO405,
365,2019-5-10,18:57:59,750,1557514680,1,1005,564,22.158497,2019-05-10 08:25:18 NO405,
366,2019-5-10,18:58:00,0,1557514680,1,1049,564,22.159706,2019-05-10 08:25:18 NO405,
367,2019-5-10,18:58:00,250,1557514680,1,1029,563,22.160913,2019-05-10 08:25:18 NO405,
368,2019-5-10,18:58:00,500,1557514681,1,1029,559,22.162121,2019-05-10 08:25:18 NO405,
369,2019-5-10,18:58:00,750,1557514681,1,1007,554,22.159706,2019-05-10 08:25:18 NO405,
370,2019-5-10,18:58:01,0,1557514681,1,1016,553,22.159706,2019-05-10 08:25:18 NO405,
371,2019-5-10,18:58:01,250,1557514681,1,1000,551,22.162121,2019-05-10 08:25:18 NO405,
372,2019-5-10,18:58:01,500,1557514682,1,1015,552,22.160913,2019-05-10 08:25:18 NO405,
373,2019-5-10,18:58:01,750,1557514682,1,1006,552,22.159706,2019-05-10 08:25:18 NO405,
374,2019-5-10,18:58:02,0,1557514682,1,1027,553,22.156082,2019-05-10 08:25:18 NO405,
375,2019-5-10,18:58:02,250,1557514682,1,993,551,22.159706,2019-05-10 08:25:18 NO405,
376,2019-5-10,18:58:02,500,1557514683,1,1000,551,22.158497,2019-05-10 08:25:18 NO405,
377,2019-5-10,18:58:02,750,1557514683,1,994,551,22.160913,2019-05-10 08:25:18 NO405,
378,2019-5-10,18:58:03,0,1557514683,1,997,552,22.158497,2019-05-10 08:25:18 NO405,
379,2019-5-10,18:58:03,250,1557514683,1,996,552,22.158497,2019-05-10 08:25:18 NO405,
380,2019-5-10,18:58:03,500,1557514684,1,1012,550,22.156082,2019-05-10 08:25:18 NO405,
381,2019-5-10,18:58:03,750,1557514684,1,1002,551,22.160913,2019-05-10 08:25:18 NO405,
382,2019-5-10,18:58:04,0,1557514684,1,994,551,22.159706,2019-05-10 08:25:18 NO405,
383,2019-5-10,18:58:04,250,1557514684,1,993,550,22.160913,2019-05-10 08:25:18 NO405,
384,2019-5-10,18:58:04,500,1557514685,1,990,550,22.158497,2019-05-10 08:25:18 NO405,
385,2019-5-10,18:58:04,750,1557514685,1,1010,552,22.15729,2019-05-10 08:25:18 NO405,
386,2019-5-10,18:58:05,0,1557514685,1,1005,550,22.159706,2019-05-10 08:25:18 NO405,
387,2019-5-10,18:58:05,250,1557514685,1,1005,553,22.160913,2019-05-10 08:25:18 NO405,
388,2019-5-10,18:58:05,500,1557514686,1,1011,556,22.158497,2019-05-10 08:25:18 NO405,
